country,gender,math,read,science
ALB,female,179.583,247.571,335.468
ALB,male,308.247,258.472,315.021
ALB,male,267.514,284.67,358.675
ALB,female,272.649,321.547,214.823
ALB,female,435.473,464.366,434.997
ALB,male,534.112,451.263,479.075
ALB,male,381.584,390.962,342.015
ALB,female,273.196,308.07,322.52
ALB,female,355.148,429.286,360.621
ALB,female,429.818,419.511,385.801
ALB,male,424.584,381.25,346.282
ALB,male,463.382,393.913,414.088
ALB,male,236.252,247.459,287.562
ALB,male,326.677,285.698,326.622
ALB,female,476.146,465.97,446.343
ALB,female,303.243,333.731,339.62
ALB,male,326.014,341.592,393.777
ALB,female,548.982,496.025,569.146
ALB,female,427.944,399.316,386.248
ALB,female,454.79,324.947,369.242
ALB,male,428.219,485.041,468.358
ALB,male,277.674,315.16,357.593
ALB,male,395.366,480.506,385.787
ALB,female,393.616,304.929,357.383
ALB,female,467.187,366.765,446.156
AUS,female,552.381,624.453,663.758
AUS,male,498.972,571.948,480.404
AUS,female,540.95,586.231,562.188
AUS,male,443.985,562.215,403.591
AUS,male,568.443,592.715,579.51
AUS,female,521.438,540.226,618.668
AUS,male,399.731,457.311,473.467
AUS,male,461.753,473.704,483.965
AUS,male,404.715,452.639,522.691
AUS,female,479.36,329.718,426.013
AUS,female,462.843,544.822,532.679
AUS,female,374.661,323.34,391.581
AUS,male,363.746,360.945,295.524
AUS,female,387.881,349.209,342.071
AUS,male,500.337,524.096,535.446
AUS,male,299.23,221.932,341.025
AUS,male,700.436,573.211,621.318
AUS,female,359.882,327.135,354.434
AUS,female,374.548,348.128,502.241
AUS,female,522.463,489.196,425.582
AUS,female,364.492,353.972,355.277
AUS,female,564.496,659.458,605.119
AUS,female,386.702,474.865,456.63
AUS,male,542.186,619.086,602.907
AUS,female,462.265,471.333,585.745
AUS,male,484.63,439.101,487.068
AUS,female,483.716,549.819,501.938
USA,female,442.486,505.831,383.756
USA,male,383.521,382.445,402.955
USA,female,470.272,499.342,530.172
USA,female,418.971,526.935,516.722
USA,male,607.28,687.471,608.734
USA,male,389.076,375.608,366.395
USA,male,455.691,525.014,536.822
USA,female,416.136,403.299,440.597
USA,female,617.865,671.591,672.988
USA,male,476.109,499.71,499.912
USA,male,485.237,607.598,529.59
USA,male,435.624,520.754,455.548
USA,male,327.088,259.293,339.606
USA,female,448.488,493.47,481.377
USA,female,469.07,550.207,526.178
USA,male,410.673,506.677,433.219
USA,male,610.065,793.979,711.062
USA,male,361.724,395.896,343.002
USA,female,417.765,444.472,454.031
USA,female,520.104,588.388,573.247
USA,female,264.507,408.338,334.273
USA,male,489.234,547.096,493.251
USA,male,346.483,412.449,393.357
USA,female,587.118,740.08,623.539
USA,male,772.782,744.454,775.905
USA,male,538.107,603.725,532.458
USA,male,410.329,441.768,430.873
USA,female,471.942,496.408,503.816
USA,female,481.784,627.57,488.051
USA,female,359.302,502.112,495.466
USA,female,449.791,564.387,573.998
USA,female,348.674,310.442,408.557
USA,male,381.919,429.033,411.592
USA,male,488.808,589.109,520.155
USA,male,514.713,524.57,602.329
USA,male,275.028,317.798,281.552
USA,male,398.769,404.516,494.485
USA,male,655.293,638.765,606.076
USA,male,620.738,583.387,646.491
USA,male,479.367,451.551,491.762
USA,male,539.843,505.106,559.774
USA,female,417.24,488.291,526.159
USA,male,445.689,434.099,488.621
USA,male,489.868,338.954,484.953
USA,male,443.685,511.646,520.745
USA,male,450.193,404.126,464.584
USA,female,582.926,653.562,679.644
USA,male,564.077,548.966,554.657
USA,female,434.957,435.537,384.682
USA,male,593.015,664.125,662.27
USA,female,552.717,687.76,624.637
USA,male,446.617,512.397,476.543
USA,male,470.375,394.123,481.228
USA,male,475.628,588.763,516.211
USA,male,768.988,780.315,717.626
USA,male,474.163,596.459,564.713
USA,male,545.92,539.185,633.787
USA,female,608.728,666.183,606.275
USA,female,584.487,674.191,587.694
USA,female,533.238,608.765,557.531
USA,male,596.537,622.942,598.897
USA,female,391.797,451.489,434.483
USA,male,390.309,447.91,428.63
USA,female,509.835,570.79,581.505
USA,female,370.121,393.153,336.882
USA,male,520.85,565.86,574.41
USA,male,552.3,633.22,588.74
USA,female,454.67,477.483,456.308
USA,female,436.75,467.336,466.468
USA,female,389.64,378.613,419.233
USA,female,334.923,406.877,361.405
USA,male,517.888,595.591,516.739
USA,male,284.042,272.263,262.994
USA,female,394.17,517.129,472.948
USA,female,405.488,427.503,446.086
USA,male,535.342,551.717,564.098
USA,male,388.634,411.652,464.876
USA,female,477.43,412.885,490.363
USA,female,351.868,419.944,422.327
USA,female,562.002,653.69,625.134
USA,female,383.718,433.093,348.033
USA,male,715.43,754.389,677.832
USA,female,324.608,353.496,353.616
USA,male,617.612,657.283,707.722
USA,female,509.342,647.455,572.759
USA,female,332.879,366.053,345.939
USA,male,188.352,213.465,202.419
USA,male,568.88,597.532,621.117
USA,female,408.246,551.677,499.043
USA,female,575.625,537.847,553.615
USA,male,643.062,622.415,644.69
USA,female,554.643,544.529,575.403
USA,female,360.817,471.845,415.189
USA,female,385.954,607.32,414.124
USA,female,595.54,601.162,569.398
USA,female,541.517,556.327,537.922
USA,male,469.1,500.88,532.65
USA,female,501.171,466.396,559.043
USA,female,333.452,362.921,364.306
USA,female,446.845,483.01,420.53
USA,female,481.492,588.752,560.677
USA,female,341.669,351.855,343.51
USA,female,379.151,432.646,460.98
USA,female,431.02,571.019,567.779
USA,female,447.832,437.344,459.316
USA,female,436.953,423.059,407.863
USA,male,535.305,606.209,600.339
USA,female,486.687,630.609,564.658
USA,male,355.48,287.017,413.797
USA,female,443.621,595.725,470.909
USA,female,449.101,348.94,428.656
USA,female,519.957,609.632,652.843
USA,male,528.591,552.743,496.084
USA,male,423.461,479.619,416.089
USA,male,423.906,382.667,463.48
USA,female,542.635,459.228,537.56
USA,male,408.751,448.725,399.35
USA,female,631.265,602.502,648.57
USA,male,546.403,548.97,588.133
USA,female,520.112,603.323,567.961
USA,male,384.919,397.107,434.37
USA,male,244.589,149.401,280.818
USA,female,510.864,673.286,671.469
USA,male,425.322,399.829,495.789
USA,female,281.928,244.143,319.096
USA,male,386.77,372.712,377.016
USA,female,388.194,443.445,390.453
USA,male,527.61,489.955,459.088
USA,female,460.717,485.449,464.602
USA,male,357.776,315.035,303.611
USA,male,467.772,416.916,414.105
USA,male,345.729,365.309,362.565
USA,female,406.304,346.107,465.212
USA,female,475.703,625.19,577.333
USA,male,454.039,413.305,456.777
USA,female,526.347,663.899,605.685
USA,male,415.273,486.756,494.54
USA,male,430.12,463.57,524.414
USA,male,551.857,534.12,576.031
USA,female,334.315,440.69,330.568
USA,male,416.764,564.133,534.815
USA,male,349.779,398.419,374.29
USA,male,525.748,567.842,580.713
USA,male,465.124,530.385,541.599
USA,male,541.689,686.782,594.311
USA,male,428.927,546.362,531.288
USA,male,352.256,248.586,366.134
USA,male,327.747,459.604,410.45
USA,female,538.673,637.48,559.469
USA,female,490.207,596.826,551.309
USA,male,390.688,270.57,312.905
USA,male,487.478,508.367,513.181
USA,male,523.172,596.838,609.119
USA,male,385.482,463.36,400.679
USA,male,405.315,451.143,427.611
USA,male,421.218,450.238,434.173
USA,male,560.644,602.747,629.193
USA,male,454.146,445.268,468.78
USA,male,325.047,327.109,316.052
USA,female,421.186,499.678,492.797
USA,female,413.814,460.789,412.955
USA,male,489.314,485.884,551.36
USA,male,439.495,555.229,493.632
USA,female,534.557,535.724,534.303
USA,female,474.445,534.792,493.864
USA,female,434.197,474.622,505.103
USA,female,444.696,466.345,551.497
USA,male,561.97,643.228,616.958
USA,male,473.532,494.418,534.796
USA,female,441.636,603.529,589.171
USA,male,500.192,497.588,548.525
USA,male,526.984,589.365,540.734
USA,female,571.492,582.337,621.806
USA,male,610.398,598.935,592.214
USA,female,479.489,447.622,439.561
USA,male,545.637,589.218,596.098
USA,male,362.844,391.638,392.033
USA,male,649.411,738.836,663.958
USA,female,427.905,504.584,486.808
USA,female,321.706,432.03,355.036
USA,male,624.411,619.395,714.366
USA,male,407.228,409.255,430.924
USA,male,557.562,568.722,576.736
USA,male,384.763,460.998,437.062
USA,female,541.326,663.476,574.498
GBR,male,447.152,565.196,590.02
GBR,male,507.232,618.568,370.604
GBR,female,567.944,590.658,527.054
GBR,female,629.309,632.047,629.757
GBR,male,438.65,472.753,434.198
GBR,female,369.912,386.09,389.107
GBR,male,669.14,532.341,658.581
GBR,male,631.174,649.03,638.713
GBR,male,380.709,126.457,283.706
GBR,male,732.908,649.446,711.228
GBR,male,584.562,593.418,648.79
GBR,male,376.175,392.49,403.808
GBR,male,519.063,502.781,499.424
GBR,female,385.834,519.895,389.758
GBR,female,319.4,288.015,405.585
GBR,female,571.083,551.633,641.634
GBR,female,400.988,497.904,465.873
GBR,female,562.657,729.412,731.247
GBR,male,516.307,504.749,501.787
GBR,male,594.607,533.635,578.046
GBR,female,538.388,522.421,648.826
GBR,male,349.264,391.132,324.943
GBR,male,621.155,618.717,702.9
GBR,female,467.642,506.422,547.793
GBR,female,341.085,446.658,422.937
GBR,female,537.703,727.53,614.973
GBR,female,391.491,460.282,484.815
